Sample	2	3	5	6	7	8	9	10	11	12	13	14	15	16	17	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
MICE	E3	E3	E1	E3	E3	E3	E3	E3	E3	0	21	22	23	24	25	33	34	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tag	IP5429a	IP5429a	IP5429a	IP5429a	IP5429a	IP5429a	IP5429a	IP5429a	IP5429a	0	IP5429b	IP5429b	IP5429b	IP5429b	IP5429b	IP5429b	IP5429b	IP5429b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GROUP	CTRL	CTRL	CTRL	CTRL	TREAT	TREAT	TREAT	TREAT	TREAT	CIPHE	CTRL	CTRL	CTRL	CTRL	CTRL	TREAT	TREAT	TREAT	CTRL	CTRL	CTRL	CTRL	CTRL	J+1	J+1	J+1	J+1	J+1	J+3	J+3	J+3	J+3	J+3
TREATMENT	LPS	LPS	LPS	LPS	LPS	LPS	LPS	LPS	LPS	OVA	OVA	OVA	OVA	OVA	OVA	OVA	OVA	OVA	THIO	THIO	THIO	THIO	THIO	THIO	THIO	THIO	THIO	THIO	THIO	THIO	THIO	THIO	THIO
SEX (M/F)	M	M	M	M	M	M	M	M	M	F	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M
AGE (Wk)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
ORGAN	cLN	cLN	cLN	cLN	cLN	cLN	cLN	cLN	cLN	cLN	cLN	cLN	cLN	cLN	cLN	cLN	cLN	cLN	MLN	MLN	MLN	MLN	MLN	MLN	MLN	MLN	MLN	MLN	MLN	MLN	MLN	MLN	MLN
CELLULARITY	0.513541663	1.938392863	1.25	1.315789475	0.238095238	0.446428575	0.1186849	2.272727275	1.5625	0.006981	0.612695313	0.862068963	0.081433225	0	0.78125	4.166666663	8.333333338	5	4.6043956	9.9266667	11.4022222	11.0604167	8.5145455	10.1636364	14.2631579	10.4878788	13.4	13.3125	14.7666667	11.6259259	9.1854839	3.6161074	16.6578947
VIABILITY	0.8615	0.9476	0.9013	0.8893	0.8598	0.873	0.8685	0.9103	0.8929	0.80932203	0.89500713	0.68657741	0.9009009	0	0.90991811	0.91659028	0.95465394	0.90456807	0.99904626	0.99932886	0.99902648	0.99962342	0.99893345	0.99910634	0.99926254	0.99927819	0.99964476	0.9984375	0.99947935	0.99904519	0.99894755	0.99981444	0.99936849
