<<<<<<< HEAD
YORF	NAME	CLASS	GenBank	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10
			Treat.	c	c	c	c	c	ex	ex	ex	ex	ex
			Strain	a	a	a	b	b	a	a	b	b	b
B1	B1	B	N49204	2.271055369	2.492804609	1.540399308	1.936940205	1.90296774	1.875172816	1.653010184	2.456678019	1.90730188	1.773568672
B2	B2	B	AA279188	1.782038788	2.290019428	2.024220422	2.155364378	2.308608776	2.0303642	1.774086934	2.205225573	1.509038876	1.775626342
B3	B3	B	AA872057	2.296296997	2.028035939	2.315904589	2.328066633	1.50734407	1.896646332	2.036479426	1.841477745	1.942543786	1.801611295
B4	B4	B	AI368402	2.333940168	1.713599154	1.794415903	2.374339476	2.15053936	2.197383643	1.749512292	2.303549544	2.154061662	2.156814171
D1	D1	D	R13558	1.813810782	2.775809282	2.651975681	2.13554066	2.340021195	1.87430921	1.434707013	1.718522256	2.320679609	2.37358658
D2	D2	D	AA664101	1.722866009	2.631406371	2.501553554	2.811386638	2.171418423	1.556457939	0.761586585	1.223704616	1.585881185	2.154357135
D3	D3	D	AI337368	1.668313191	2.897568238	2.742326959	2.75917702	2.26175353	1.021431748	0.995820821	1.840831113	2.211397228	2.312651528
D4	D4	D	AA918490	1.897532752	2.02520801	2.58846081	2.549508433	1.66074867	1.928482006	0.923817643	1.095455683	2.147004262	2.244497252
E1	E1	E	AA872001	1.663562795	1.87416857	1.014231615	1.424746717	1.94742981	2.180629029	3.052516479	2.050566901	2.057513069	1.323015242
E2	E2	E	H15504	2.238032145	1.8412448	0.523587068	1.123193951	2.288519279	2.787704346	2.776217805	2.44284169	1.83237495	1.77017209
E3	E3	E	AA465051	1.785946516	1.798405035	0.950155533	1.956730932	1.555156659	2.031430657	3.120875827	2.597271569	2.441015488	1.766650485
E4	E4	E	AA884167	2.014167974	1.104578283	1.140819055	1.028399589	2.029325	2.088248864	2.709028618	2.08184148	1.638815765	1.766541687
J1	J1	J	H17398	2.459208003	2.281211951	2.462198094	1.320373568	0.265949917	-1.405966103	-2.452216068	-1.659486489	-1.952130137	-2.147841317
J2	J2	J	H52673	2.092214715	1.943091995	2.123949606	0.99247724	-0.363353155	-0.647445747	-2.275512748	-1.970886809	-1.831708368	-1.662891229
J3	J3	J	AA678295	2.20982237	1.511453111	2.121357201	0.996775081	-0.223365998	-0.769513825	-1.539703937	-1.747646609	-2.163317539	-2.124697886
J4	J4	J	AI565203	1.652735664	1.795890464	1.656514065	0.614933757	-0.383735969	-0.577536018	-2.291032345	-2.335952037	-1.737022507	-1.743162483
A1	A1	A	AA757429	0.246456878	0.22613566	-0.279917733	0.278944897	0.416614486	0.404501674	0.167487995	0.378536155	-0.394313583	-0.16576836
A2	A2	A	AA156571	-0.323161859	0.007695167	0.354104906	-0.324017974	-0.408117939	-0.22405071	0.152089146	0.137637942	0.348558755	0.434621756
A3	A3	A	AI286022	0.202584754	-0.086175734	-0.329190141	-0.38246136	-0.297690969	0.099508338	0.409601986	-0.21472995	-0.493387589	-0.356393193
A4	A4	A	AA521292	-0.365973455	0.253069289	0.369742468	-0.145891188	0.032014186	0.286356954	-0.241389514	-0.300497819	0.164893109	-0.135703097
H1	H1	H	H24018	-1.652572764	-2.161831118	-1.913416646	-1.057748568	-0.14766771	1.277553787	2.485756197	2.180702533	1.645346169	2.406404282
H2	H2	H	AA490010	-1.620596162	-2.167106858	-2.491704655	-1.148714236	-0.4700773	0.848036683	1.576100277	2.199390901	1.591707258	2.191048512
H3	H3	H	AA156674	-2.290143142	-2.437674209	-1.555908795	-0.995901581	-0.35715712	0.882538447	2.231421508	2.345126129	1.850825866	2.370393528
H4	H4	H	N93024	-2.251072359	-2.301746898	-2.29143759	-0.664489005	0.140504534	1.0608947	2.113064781	2.126260731	1.741597233	2.25841095
C1	C1	C	AI276134	-1.999909215	-2.017439131	-1.89501975	-1.591142704	-1.949883118	-1.880757792	-1.919012949	-1.548084015	-1.721741641	-1.52037182
C2	C2	C	R88246	-1.610621742	-1.699083942	-1.53475039	-2.112833281	-2.174813777	-2.10928926	-1.72823157	-1.812491611	-1.876572865	-1.524058816
C3	C3	C	H15250	-1.551163605	-2.331364432	-1.858878826	-1.754011029	-2.036522062	-2.470650047	-2.355899122	-2.299875965	-2.339597252	-2.036673663
C4	C4	C	AA279133	-1.799022979	-1.839506467	-1.554112793	-2.194042728	-1.930649171	-2.003995911	-1.574800521	-2.34966212	-2.052079927	-1.796542162
F1	F1	F	R91904	-1.864318538	-2.079556081	-2.718014966	-2.757343503	-1.570126021	-1.066232663	-1.472013074	-1.482379919	-1.830603383	-2.83214455
F2	F2	F	N46843	-1.906278435	-2.874374435	-3.100493053	-2.482916921	-2.039231725	-1.599539805	-1.396020298	-1.219461607	-2.485278095	-2.546022041
F3	F3	F	AA496539	-1.751573205	-2.754459289	-3.245419882	-2.8121027	-2.364713409	-1.820853878	-1.322080397	-1.57995039	-2.227983554	-2.912256095
F4	F4	F	AA872916	-1.537185197	-2.092302093	-3.491812175	-2.255200163	-2.349645596	-1.061938196	-0.821432827	-1.821658671	-2.044318115	-2.652036211
G1	G1	G	H86518	-2.093561263	-1.297105786	-0.99129209	-1.424225108	-1.986062305	-2.944232247	-2.621835849	-2.719523845	-1.675507428	-1.306687234
G2	G2	G	AA705047	-1.843142276	-1.375800778	-1.08318526	-1.459292111	-2.120017744	-2.688449821	-2.887400762	-2.265379691	-2.322532376	-1.535865306
G3	G3	G	H20859	-1.574727104	-1.588050333	-0.803897692	-1.80194876	-1.987738427	-2.623833873	-2.696998249	-2.363251839	-1.687025449	-1.218450591
G4	G4	G	H45449	-2.057728799	-1.780586713	-1.015556377	-1.049020889	-1.704811821	-2.001618682	-3.493253136	-2.32664767	-2.221142528	-1.168760565
=======
YORF	NAME	CLASS	GenBank	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10
			Treat.	c	c	c	c	c	ex	ex	ex	ex	ex
			Strain	a	a	a	b	b	a	a	b	b	b
B1	B1	B	N49204	2.271055369	2.492804609	1.540399308	1.936940205	1.90296774	1.875172816	1.653010184	2.456678019	1.90730188	1.773568672
B2	B2	B	AA279188	1.782038788	2.290019428	2.024220422	2.155364378	2.308608776	2.0303642	1.774086934	2.205225573	1.509038876	1.775626342
B3	B3	B	AA872057	2.296296997	2.028035939	2.315904589	2.328066633	1.50734407	1.896646332	2.036479426	1.841477745	1.942543786	1.801611295
B4	B4	B	AI368402	2.333940168	1.713599154	1.794415903	2.374339476	2.15053936	2.197383643	1.749512292	2.303549544	2.154061662	2.156814171
D1	D1	D	R13558	1.813810782	2.775809282	2.651975681	2.13554066	2.340021195	1.87430921	1.434707013	1.718522256	2.320679609	2.37358658
D2	D2	D	AA664101	1.722866009	2.631406371	2.501553554	2.811386638	2.171418423	1.556457939	0.761586585	1.223704616	1.585881185	2.154357135
D3	D3	D	AI337368	1.668313191	2.897568238	2.742326959	2.75917702	2.26175353	1.021431748	0.995820821	1.840831113	2.211397228	2.312651528
D4	D4	D	AA918490	1.897532752	2.02520801	2.58846081	2.549508433	1.66074867	1.928482006	0.923817643	1.095455683	2.147004262	2.244497252
E1	E1	E	AA872001	1.663562795	1.87416857	1.014231615	1.424746717	1.94742981	2.180629029	3.052516479	2.050566901	2.057513069	1.323015242
E2	E2	E	H15504	2.238032145	1.8412448	0.523587068	1.123193951	2.288519279	2.787704346	2.776217805	2.44284169	1.83237495	1.77017209
E3	E3	E	AA465051	1.785946516	1.798405035	0.950155533	1.956730932	1.555156659	2.031430657	3.120875827	2.597271569	2.441015488	1.766650485
E4	E4	E	AA884167	2.014167974	1.104578283	1.140819055	1.028399589	2.029325	2.088248864	2.709028618	2.08184148	1.638815765	1.766541687
J1	J1	J	H17398	2.459208003	2.281211951	2.462198094	1.320373568	0.265949917	-1.405966103	-2.452216068	-1.659486489	-1.952130137	-2.147841317
J2	J2	J	H52673	2.092214715	1.943091995	2.123949606	0.99247724	-0.363353155	-0.647445747	-2.275512748	-1.970886809	-1.831708368	-1.662891229
J3	J3	J	AA678295	2.20982237	1.511453111	2.121357201	0.996775081	-0.223365998	-0.769513825	-1.539703937	-1.747646609	-2.163317539	-2.124697886
J4	J4	J	AI565203	1.652735664	1.795890464	1.656514065	0.614933757	-0.383735969	-0.577536018	-2.291032345	-2.335952037	-1.737022507	-1.743162483
A1	A1	A	AA757429	0.246456878	0.22613566	-0.279917733	0.278944897	0.416614486	0.404501674	0.167487995	0.378536155	-0.394313583	-0.16576836
A2	A2	A	AA156571	-0.323161859	0.007695167	0.354104906	-0.324017974	-0.408117939	-0.22405071	0.152089146	0.137637942	0.348558755	0.434621756
A3	A3	A	AI286022	0.202584754	-0.086175734	-0.329190141	-0.38246136	-0.297690969	0.099508338	0.409601986	-0.21472995	-0.493387589	-0.356393193
A4	A4	A	AA521292	-0.365973455	0.253069289	0.369742468	-0.145891188	0.032014186	0.286356954	-0.241389514	-0.300497819	0.164893109	-0.135703097
