Id	Module	Sample_1a	Sample_1b	Sample_1c	Sample_2a	Sample_2b	Sample_2c	Sample_3a	Sample_3b	Sample_3c	Sample_4a	Sample_4b	Sample_5a	Sample_5b	Sample_6a	Sample_6b	Sample_7a	Sample_7b	Sample_7c	Sample_8a	Sample_8b	Sample_8c	Sample_9a	Sample_9b	Sample_9c	Sample_10a	Sample_10b	Sample_10c
	Plant	Plant_1	Plant_1	Plant_1	Plant_2	Plant_2	Plant_2	Plant_3	Plant_3	Plant_3	Plant_4	Plant_4	Plant_5	Plant_5	Plant_6	Plant_6	Plant_7	Plant_7	Plant_7	Plant_8	Plant_8	Plant_8	Plant_9	Plant_9	Plant_9	Plant_10	Plant_10	Plant_10
	Replicate	a	b	c	a	b	c	a	b	c	a	b	a	b	a	b	a	b	c	a	b	c	a	b	c	a	b	c
	Strain	A	A	A	A	A	A	A	A	A	B	B	B	B	B	B	C	C	C	C	C	C	C	C	C	C	C	C
A01	A	0.246	0.265	-0.342	0.226	0.067	-0.428	-0.280	0.027	0.474	0.279	-0.097	0.417	0.464	0.405	-0.185	0.167	-0.442	-0.369	0.379	-0.176	-0.422	-0.394	0.266	0.136	-0.166	-0.117	0.361
A02	A	-0.323	-0.213	-0.031	0.008	0.230	-0.183	0.354	-0.187	0.260	-0.324	0.053	-0.408	0.120	-0.224	-0.482	0.152	-0.259	0.425	0.138	0.138	-0.196	0.349	-0.403	0.420	0.435	-0.240	0.471
A03	A	0.203	-0.430	-0.323	-0.086	0.058	-0.164	-0.329	0.254	-0.320	-0.382	-0.450	-0.298	-0.347	0.100	0.092	0.410	0.431	0.295	-0.215	-0.085	-0.389	-0.493	0.062	-0.287	-0.356	0.474	0.494
A04	A	-0.366	0.042	0.490	0.253	-0.173	-0.129	0.370	0.041	-0.434	-0.146	-0.430	0.032	0.230	0.286	0.004	-0.241	-0.115	0.019	-0.300	0.288	0.312	0.165	0.329	0.469	-0.136	-0.349	-0.345
A05	A	0.034	-0.328	0.173	0.342	-0.384	-0.061	0.372	0.381	-0.027	-0.112	-0.015	-0.482	0.168	0.464	0.000	0.164	0.002	-0.484	0.170	0.409	-0.068	0.102	-0.362	0.432	0.012	0.099	0.436
A06	A	0.104	-0.331	-0.097	-0.196	-0.292	-0.391	0.426	-0.343	-0.228	0.275	0.423	-0.078	-0.242	-0.372	-0.190	-0.125	0.016	0.176	-0.169	-0.311	-0.278	-0.086	0.225	0.040	-0.119	-0.422	0.390
A07	A	-0.025	-0.337	-0.284	0.048	-0.233	0.030	-0.366	-0.095	-0.240	-0.155	0.204	0.402	-0.163	0.166	-0.365	-0.369	-0.292	-0.326	-0.340	0.222	-0.486	0.366	0.424	0.253	0.296	-0.463	-0.357
A08	A	0.025	0.373	-0.330	-0.100	-0.405	-0.074	0.138	-0.347	0.082	-0.103	0.253	0.288	0.080	0.155	0.321	-0.139	-0.247	-0.229	-0.049	-0.418	0.375	-0.175	0.230	0.021	0.462	-0.109	-0.297
