<<<<<<< HEAD
Population	Prep	S1	S2	S3	S4	S5	T1	T2	T3	T4	T5
Strain	S	S	S	S	S	S	T	T	T	T	T
live cells	54.00	53.72	73.07	32.13	46.44	46.80	67.97	64.59	66.94	36.89	40.05
singlets1	79.80	88.90	100.76	63.08	56.33	104.28	90.35	112.01	84.71	57.81	93.02
singlets2	99.60	112.29	83.75	65.67	130.42	125.78	115.10	77.89	57.99	82.98	70.93
B2 cells	25.60	22.77	30.50	26.02	24.93	26.64	26.08	19.16	22.63	26.76	26.69
B1 cells	1.90	1.91	1.80	1.92	1.83	1.98	1.99	1.79	1.79	1.91	2.03
others	14.20	15.44	15.97	12.75	15.95	14.55	15.84	14.50	12.73	14.32	16.42
NK	52.20	56.63	61.43	34.87	48.92	41.94	49.84	54.77	59.78	63.71	44.49
Myeloid	23.50	21.74	18.17	23.04	28.47	27.65	22.77	28.78	23.24	21.44	19.55
neutro/granulo	29.70	25.97	24.04	22.93	28.16	23.49	36.12	22.35	34.44	32.41	36.64
Eosino	23.00	25.12	27.56	23.49	18.74	26.18	18.71	22.10	24.27	28.14	23.80
mono/macro	42.20	46.81	33.18	49.75	37.31	51.48	54.11	53.55	49.44	52.92	42.81
Q1	22.50	20.11	21.01	24.48	20.91	27.19	17.41	18.35	19.83	20.43	24.47
Q2	4.00	4.19	3.89	3.85	3.83	3.96	4.37	3.75	3.94	3.83	4.30
Q3	47.40	47.65	45.86	38.84	43.49	36.20	56.00	40.83	39.01	56.49	49.12
Q4	26.10	27.26	28.66	31.29	18.97	24.59	24.58	22.26	26.82	32.56	33.45
CD5+	53.20	52.13	62.16	62.92	63.69	58.82	42.71	44.28	59.88	57.08	37.35
ab T cells	89.10	107.38	113.59	78.52	127.86	123.08	40.69	115.78	91.23	93.73	57.30
CD4 T	57.30	49.24	46.71	75.15	77.44	60.02	38.57	46.21	58.25	36.29	57.60
T reg	6.70	7.12	5.82	6.11	6.82	6.43	7.47	7.13	6.96	7.46	6.78
CD4 eff	23.70	24.27	28.39	22.60	22.58	28.10	23.20	21.94	22.18	20.02	24.65
CD4 naive	72.20	70.34	96.10	96.99	83.00	79.13	86.41	76.71	63.62	84.57	59.20
CD8 T	38.20	33.34	42.43	46.61	44.88	36.34	32.75	31.19	43.49	41.87	27.61
CD8 eff	4.80	4.73	4.45	4.72	4.40	4.87	2.66	2.28	2.32	2.24	2.38
