YORF	NAME	GWEIGHT	GenBank	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10
			Treat.	c	c	c	c	c	ex	ex	ex	ex	ex
			Strain	a	a	a	b	b	a	a	b	b	b
A0	A0	1	AI460128	0	0	0	0	0	0	0	0	0	0
B0	B0	1	AA775447	2	2	2	2	2	2	2	2	2	2
C0	C0	1	R91803	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
D0	D0	1	AI460128	2	2.5	3	2.5	2	1.5	1	1.5	2	2.5
E0	E0	1	T80924	2	1.5	1	1.5	2	2.5	3	2.5	2	1.5
F0	F0	1	AA704242	-2	-2.5	-3	-2.5	-2	-1.5	-1	-1.5	-2	-2.5
G0	G0	1	N78022	-2	-1.5	-1	-1.5	-2	-2.5	-3	-2.5	-2	-1.5
H0	H0	1	AA045320	-2	-2	-2	-1	0	1	2	2	2	2
J0	J0	1	AA452988	2	2	2	1	0	-1	-2	-2	-2	-2
A1	A1	1	AA757429	0.246456878	0.22613566	-0.279917733	0.278944897	0.416614486	0.404501674	0.167487995	0.378536155	-0.394313583	-0.16576836
A2	A2	1	AA156571	-0.323161859	0.007695167	0.354104906	-0.324017974	-0.408117939	-0.22405071	0.152089146	0.137637942	0.348558755	0.434621756
A3	A3	1	AI286022	0.202584754	-0.086175734	-0.329190141	-0.38246136	-0.297690969	0.099508338	0.409601986	-0.21472995	-0.493387589	-0.356393193
A4	A4	1	AA521292	-0.365973455	0.253069289	0.369742468	-0.145891188	0.032014186	0.286356954	-0.241389514	-0.300497819	0.164893109	-0.135703097
A5	A5	1	AI344681	0.03373382	0.34173125	0.37199207	-0.112161274	-0.482286724	0.463874131	0.163788016	0.169802421	0.101512074	0.01234677
A6	A6	1	AA705237	0.104424178	-0.195903173	0.426171036	0.275234037	-0.078364533	-0.371519934	-0.125257625	-0.168762547	-0.086249884	-0.118645214
A7	A7	1	AA485752	-0.02515574	0.047776661	-0.365575925	-0.155413273	0.401885473	0.166438261	-0.369056319	-0.339504041	0.365940441	0.29583679
A8	A8	1	H81821	0.024792862	-0.100325739	0.137568039	-0.103215068	0.287512988	0.155281316	-0.139340937	-0.048698997	-0.174916263	0.462171137
A9	A9	1	T46924	0.463647773	0.429507914	-0.233732036	0.389818809	0.204741952	0.187903431	-0.481701124	-0.420515674	-0.480859116	-0.067951008
A10	A10	1	W24076	-0.039160888	-0.006014856	0.479825653	0.095263188	0.338571871	0.381711125	-0.238298552	0.469515552	-0.457792916	-0.37235811
A11	A11	1	AA939275	0.265352341	0.066999946	0.027316151	-0.097079619	0.463784878	-0.185170861	-0.441798304	-0.175556059	0.266130142	-0.116714567
A12	A12	1	AA917076	-0.213384923	0.229777916	-0.187206653	0.052883041	0.119596725	-0.482464702	-0.259213528	0.1378956	-0.402980376	-0.240072644
A13	A13	1	T41038	-0.430055408	0.057858737	0.2539125	-0.450229756	-0.346878076	0.09248437	0.431481369	-0.085176627	0.061999922	0.473688453
A14	A14	1	R66006	0.042465263	-0.172647737	0.040688399	-0.430218586	0.230272644	0.004473276	-0.115389448	0.28847434	0.328917217	-0.349259305
A15	A15	1	N70794	-0.328240227	-0.384467706	0.38051861	-0.01544688	0.168415335	0.000115335	0.002088418	0.409201807	-0.361989065	0.099108042
A16	A16	1	AA676663	-0.330870837	-0.292044473	-0.343033221	0.423041663	-0.242274229	-0.189911297	0.015526033	-0.31079286	0.224912076	-0.422474045
A17	A17	1	H52534	-0.337104406	-0.232622662	-0.095121781	0.203583993	-0.162841248	-0.364849137	-0.291942731	0.221769304	0.423625203	-0.463025515
A18	A18	1	T69270	0.372509999	-0.404615024	-0.34749322	0.253028609	0.079938096	0.320922115	-0.246856056	-0.417973487	0.230123923	-0.108845121
A19	A19	1	H96140	0.181134555	0.399253086	0.099110406	0.338101334	0.322294748	0.356836177	-0.351809963	-0.162179219	-0.453956683	0.373102113
A20	A20	1	AA464163	-0.084653264	-0.291061089	-0.359520548	0.320224954	0.412522903	-0.022361797	0.455375817	-0.379419828	-0.300592493	0.37900102
A21	A21	1	R25823	-0.342445343	-0.428082495	0.474385995	-0.189938563	0.324946114	0.054324091	-0.369016448	-0.421909942	0.136350604	0.361107475
A22	A22	1	AI473139	-0.030755064	-0.182514841	0.260360561	-0.431644658	-0.344413507	0.082655309	0.425191519	-0.196223469	0.42047609	0.471234836
A23	A23	1	AI017398	-0.323121356	-0.164177174	-0.319826253	-0.182641905	-0.34395222	-0.407303351	0.294996298	-0.388576403	-0.286723179	0.494403805
A24	A24	1	N63940	0.490424617	-0.129168522	-0.433678689	0.464810612	0.180892915	0.391267424	0.019134703	0.311876467	0.469357482	-0.344514694
A25	A25	1	AI341526	0.172983942	-0.061397581	-0.027029534	-0.066655498	0.006957761	0.128556959	-0.484000189	-0.06785072	0.432333489	0.436475901
A26	A26	1	R85241	-0.096615884	-0.390787867	-0.227701273	0.083557862	-0.073429772	-0.071653494	0.176254512	-0.278433474	0.039770103	0.389531333
A27	A27	1	H08548	-0.284029669	0.03019472	-0.23963719	-0.217708359	-0.004994669	0.441255725	-0.326440935	-0.485859966	0.253132192	-0.357083452
A28	A28	1	AA136054	-0.33037466	-0.073883866	0.081518966	0.142595806	0.359460637	-0.411523273	-0.228847235	0.375460448	0.020626007	-0.296513746
A29	A29	1	AA114872	0.311936349	0.424010122	-0.187301613	-0.415764925	0.007567985	0.239268614	0.012581582	-0.316177504	0.46083514	-0.447648315
A30	A30	1	AA156988	-0.426646172	-0.323194529	0.082546404	-0.166283361	-0.040902888	-0.422448264	-0.225027636	0.132656178	-0.40830823	-0.471895444
A31	A31	1	AI143948	0.275572725	-0.23868289	-0.04577931	-0.142908309	0.403912916	-0.186318673	-0.054431582	-0.324934319	-0.310858225	0.466194425
A32	A32	1	H65659	-0.121448066	-0.498921877	0.390204547	0.191250321	-0.414686801	-0.102227469	-0.069481065	0.09789478	0.081595027	-0.108645924
A33	A33	1	T62985	0.150246465	0.154948856	0.068159547	-0.267207131	0.488665495	-0.472743342	-0.189655396	-0.236362142	0.159912836	-0.097963626
A34	A34	1	H72388	-0.208257585	-0.06451444	0.163353484	0.245963105	0.292577252	0.0672664	-0.440355568	-0.26185433	0.242332081	-0.251213794
A35	A35	1	W45148	-0.295659905	-0.379115985	-0.25013567	-0.405455358	0.312134336	-0.164822472	-0.007682827	-0.257346728	0.433072308	-0.4260878
A36	A36	1	T48864	0.134007347	0.083318772	0.228861055	-0.297833106	0.316111641	0.21752655	-0.270576448	-0.373543755	0.481164408	0.389336388
A37	A37	1	R08816	0.028492619	-0.227093177	-0.175178052	-0.308153898	-0.481130072	-0.382600801	0.259112502	-0.42148564	-0.144455131	0.001444583
A38	A38	1	AA732783	-0.172699434	0.059884964	0.122328598	0.077164896	0.154429605	-0.065537066	0.412342424	-0.353253222	0.177116205	0.345414732
A39	A39	1	H93373	-0.279341022	-0.188876447	-0.071266496	0.449520033	0.013290446	-0.255154856	0.167046583	0.242713998	-0.128698611	0.148210991
A40	A40	1	AA410394	0.132050385	0.399794008	0.421117814	0.456872333	-0.408359889	0.439987741	-0.425728467	0.350752613	-0.481497899	-0.070183598
A41	A41	1	AA669042	-0.147802804	-0.154197333	0.489701365	0.474525794	0.422967563	0.14413097	-0.091011272	0.335309986	0.290877748	-0.413895066
A42	A42	1	AA775521	0.180724718	-0.488463275	-0.102771514	-0.390541778	0.461056758	0.410518932	-0.145696634	0.128103341	0.15323293	0.225604755
A43	A43	1	AA196000	-0.223685668	-0.214716685	0.125398763	-0.302567855	-0.257844352	0.217038874	-0.362580114	-0.183572819	0.067791486	-0.344078012
A44	A44	1	AI261580	0.246243582	0.419988682	0.001724655	0.235944947	0.394514476	-0.075307783	-0.119924082	-0.196496796	-0.239997796	-0.329046335
A45	A45	1	AA136910	-0.110391863	0.440726921	-0.317509609	0.286836623	-0.449814857	-0.356452851	0.197355555	-0.095511491	0.271650489	-0.149411515
A46	A46	1	AA436008	-0.369906737	-0.452035179	0.1358718	0.255492026	-0.254603034	0.378027448	-0.0274691	-0.117183147	-0.305545371	-0.459677614
A47	A47	1	AA682819	0.03873884	0.440698211	0.460311068	-0.459536505	0.176643158	0.354825544	-0.034844288	-0.443280925	-0.341671252	0.225157915
A48	A48	1	H23277	-0.27232726	0.047936885	0.165884837	-0.089836869	-0.165226492	0.216069979	0.05371028	-0.467870936	-0.379441513	-0.174639231
A49	A49	1	AA402915	-0.117282452	-0.249348249	-0.12667441	-0.481410651	-0.493856223	0.118722556	0.396616796	-0.021325323	-0.498460592	-0.408928575
A50	A50	1	W80489	0.018997063	0.040278248	-0.468230364	-0.020691869	0.080741742	0.208412793	-0.165866325	-0.454102546	0.265131868	-0.007537577
B1	B1	1	N49204	2.271055369	2.492804609	1.540399308	1.936940205	1.90296774	1.875172816	1.653010184	2.456678019	1.90730188	1.773568672
B2	B2	1	AA279188	1.782038788	2.290019428	2.024220422	2.155364378	2.308608776	2.0303642	1.774086934	2.205225573	1.509038876	1.775626342
