Population	Panel	S1	S2	S3	S4	S5	T1	T2	T3	T4	T5
	Strain	S	S	S	S	S	T	T	T	T	T
	Treat.	a	a	a	b	b	b	c	c	c	c
B1	B	48.27	56.29	29.09	38.29	37.40	36.68	31.45	54.90	37.51	34.19
B2	B	34.39	48.91	40.68	44.55	49.54	40.85	34.20	46.11	28.46	34.24
D1	D	35.16	68.49	62.85	43.94	50.63	36.66	27.03	32.91	49.96	51.82
D2	D	33.01	61.96	56.63	70.20	45.05	29.41	16.95	23.35	30.02	44.52
E1	E	31.68	36.66	20.20	26.85	38.57	45.34	82.97	41.43	41.63	25.02
E2	E	47.18	35.83	14.38	21.78	48.86	69.05	68.51	54.37	35.61	34.11
J1	J	54.99	48.61	55.11	24.97	12.02	3.77	1.83	3.17	2.58	2.26
J2	J	42.64	38.45	43.59	19.90	7.77	6.38	2.07	2.55	2.81	3.16
A1	A	11.86	11.70	8.24	12.13	13.35	13.24	11.23	13.00	7.61	8.91
A2	A	7.99	10.05	12.78	7.99	7.54	8.56	11.11	11.00	12.73	13.52
H1	H	3.18	2.23	2.65	4.80	9.03	24.24	56.01	45.34	31.28	53.02
H2	H	3.25	2.23	1.78	4.51	7.22	18.00	29.82	45.93	30.14	45.66
C1	C	2.50	2.47	2.69	3.32	2.59	2.72	2.64	3.42	3.03	3.49
C2	C	3.27	3.08	3.45	2.31	2.21	2.32	3.02	2.85	2.72	3.48
F1	F	2.75	2.37	1.52	1.48	3.37	4.78	3.60	3.58	2.81	1.40
F2	F	2.67	1.36	1.17	1.79	2.43	3.30	3.80	4.29	1.79	1.71
G1	G	2.34	4.07	5.03	3.73	2.52	1.30	1.62	1.52	3.13	4.04
G2	G	2.79	3.85	4.72	3.64	2.30	1.55	1.35	2.08	2.00	3.45
