<<<<<<< HEAD
Population	Panel	S1	S2	S3	S4	S5	T1	T2	T3	T4	T5
	Strain	S	S	S	S	S	T	T	T	T	T
	Treat.	a	a	a	b	b	a	a	b	b	b
live cells	LSRII	54	51.5	45.86	46.66	63.41	38.05	45.57	63.41	37.03	43.39
singlets1	LSRII	79.8	88.92	90.73	48.5	60.6	52.11	NA	79.8	49.43	82.45
singlets2	LSRII	99.6	91.9	132.67	78.4	65.63	75.81	96.83	117.43	81.3	94.3
B2 cells	LSRII	25.6	24.73	27.84	29.54	27.91	27.64	29.44	28.87	28.21	32.01
B1 cells	LSRII	1.9	1.93	NA	1.9	1.85	1.86	1.79	1.86	1.91	1.88
others	LSRII	14.2	15.01	16.01	16.9	14.95	15.42	12.26	16.13	14.14	13.73
NK	LSRII	52.2	49.12	35.3	64.23	69.18	68.27	56.71	41.25	64.41	50.55
Myeloid	LSRII	23.5	25.97	23.29	25.07	26.48	19.95	28.1	17.94	23.54	24.22
neutro/granulo	LSRII	29.7	32.83	25.36	23.25	32.59	NA	29.7	25.92	27.35	26.44
Eosino	LSRII	23	24.29	24.38	18.65	20.12	26.81	21.25	20.97	24.86	18.85
mono/macro	LSRII	42.2	41.15	51.48	54.31	36.37	50.61	32.52	41.35	55.66	52.32
Q1	LSRII	22.5	NA	22.5	19.24	25.15	21.15	18.94	21.96	23.83	27.18
Q2	LSRII	4	3.99	4.02	4.37	4.37	4.29	4.07	4.36	3.59	3.88
Q3	LSRII	47.4	52.87	61.44	62.45	35.03	59.53	35.61	52.12	46.07	59.39
Q4	LSRII	26.1	22.96	29.46	26.97	22.54	13.08	11.37	12.57	12.35	12.28
CD5+	LSRII	53.2	58.35	43.47	59.05	58.7	51.61	54.27	68.44	46.6	56.17
ab T cells	LSRII	89.1	90.42	73.92	54.24	65.91	59.18	85.6	77.05	108.84	53.14
CD4 T	LSRII	57.3	56.04	54.44	63.9	52.74	76.99	56.86	77.02	71.17	54.87
T reg	LSRII	6.7	6.89	6.59	7.44	6.25	6.44	6.03	7.3	7.54	6.29
CD4 eff	LSRII	23.7	26.09	27.1	22.76	25.71	27.48	27.61	19.05	20.34	23.21
CD4 naive	LSRII	72.2	78.13	87.62	96.77	48.73	87.69	62.65	63.03	80.02	48.22
CD8 T	LSRII	38.2	40.02	34.1	42.7	48.11	44.57	41.71	37.4	48.09	30.25
CD8 eff	LSRII	4.8	4.7	4.5	5	4.86	2.25	2.28	2.35	2.27	2.35
CD8 naive	LSRII	89.7	107.53	56.08	122.81	102.38	114.6	107.76	123.53	136.33	48.93
DC	LSRII	4.1	3.92	4.15	4.43	4.2	4.05	4.08	4.23	3.81	4.38
lymphoDC	LSRII	10.6	10.54	9.96	9.95	9.11	11.57	11.43	9.95	10.01	11.65
myeloDC	LSRII	84.1	97.39	49.38	109.32	89.89	51.47	104.36	89.11	102.77	113.43
gd T cells	LSRII	5.2	5.33	5.64	4.67	5.01	5.73	4.84	4.85	5.67	5.22
gd T eff mem	LSRII	15.6	15.36	16.96	13.53	13.2	14.12	15.71	15.04	18.5	12.76
gd T eff	LSRII	39.3	39.4	29.29	37.38	36.35	30.61	50.14	48.1	42.95	40.86
gd T naive	LSRII	31	33.17	35.94	31.62	32.76	29.92	26.38	32.32	38.23	27.69
B1	B	48.27	56.29	29.09	38.29	37.4	36.68	31.45	54.9	37.51	34.19
B2	B	34.39	48.91	40.68	44.55	49.54	40.85	34.2	46.11	28.46	34.24
