<<<<<<< HEAD
Id	Strain	Treat.	live cells	singlets1	singlets2	B2 cells	B1 cells	others	NK	Myeloid	neutro/granulo	Eosino	mono/macro	Q1	Q2	Q3	Q4	CD5+	ab T cells	CD4 T	T reg	CD4 eff	CD4 naive	CD8 T	CD8 eff	CD8 naive	DC	lymphoDC	myeloDC	gd T cells	gd T eff mem	gd T eff	gd T naive	B1	B2	B3	B4	D1	D2	D3	D4	E1	E2	E3	E4	J1	J2	J3	J4	A1	A2	A3	A4	H1	H2	H3	H4	C1	C2	C3	C4	F1	F2	F3	F4	G1	G2	G3	G4
		Panel	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	LSRII	B	B	B	B	D	D	D	D	E	E	E	E	J	J	J	J	A	A	A	A	H	H	H	H	C	C	C	C	F	F	F	F	G	G	G	G
S1	S	a	54	79.8	99.6	25.6	1.9	14.2	52.2	23.5	29.7	23	42.2	22.5	4	47.4	26.1	53.2	89.1	57.3	6.7	23.7	72.2	38.2	4.8	89.7	4.1	10.6	84.1	5.2	15.6	39.3	31	48.27	34.39	49.12	50.42	35.16	33.01	31.78	37.26	31.68	47.18	34.48	40.39	54.99	42.64	46.26	31.44	11.86	7.99	11.51	7.76	3.18	3.25	2.04	2.1	2.5	3.27	3.41	2.87	2.75	2.67	2.97	3.45	2.34	2.79	3.36	2.4
S2	S	a	51.5	88.92	91.9	24.73	1.93	15.01	49.12	25.97	32.83	24.29	41.15	NA	3.99	52.87	22.96	58.35	90.42	56.04	6.89	26.09	78.13	40.02	4.7	107.53	3.92	10.54	97.39	5.33	15.36	39.4	33.17	56.29	48.91	40.78	32.8	68.49	61.96	74.52	40.71	36.66	35.83	34.78	21.5	48.61	38.45	28.51	34.72	11.7	10.05	9.42	11.92	2.23	2.23	1.85	2.03	2.47	3.08	1.99	2.79	2.37	1.36	1.48	2.35	4.07	3.85	3.33	2.91
S3	S	a	45.86	90.73	132.67	27.84	NA	16.01	35.3	23.29	25.36	24.38	51.48	22.5	4.02	61.44	29.46	43.47	73.92	54.44	6.59	27.1	87.62	34.1	4.5	56.08	4.15	9.96	49.38	5.64	16.96	29.29	35.94	29.09	40.68	49.79	34.69	62.85	56.63	66.91	60.15	20.2	14.38	19.32	22.05	55.11	43.59	43.51	31.53	8.24	12.78	7.96	12.92	2.65	1.78	3.4	2.04	2.69	3.45	2.76	3.41	1.52	1.17	1.05	0.89	5.03	4.72	5.73	4.95
S4	S	b	46.66	48.5	78.4	29.54	1.9	16.9	64.23	25.07	23.25	18.65	54.31	19.24	4.37	62.45	26.97	59.05	54.24	63.9	7.44	22.76	96.77	42.7	5	122.81	4.43	9.95	109.32	4.67	13.53	37.38	31.62	38.29	44.55	50.21	51.85	43.94	70.2	67.7	58.54	26.85	21.78	38.82	20.4	24.97	19.9	19.96	15.31	12.13	7.99	7.67	9.04	4.8	4.51	5.01	6.31	3.32	2.31	2.96	2.19	1.48	1.79	1.42	2.09	3.73	3.64	2.87	4.83
S5	S	b	63.41	60.6	65.63	27.91	1.85	14.95	69.18	26.48	32.59	20.12	36.37	25.15	4.37	35.03	22.54	58.7	65.91	52.74	6.25	25.71	48.73	48.11	4.86	102.38	4.2	9.11	89.89	5.01	13.2	36.35	32.76	37.4	49.54	28.43	44.4	50.63	45.05	47.96	31.62	38.57	48.86	29.39	40.82	12.02	7.77	8.57	7.66	13.35	7.54	8.14	10.22	9.03	7.22	7.81	11.02	2.59	2.21	2.44	2.62	3.37	2.43	1.94	1.96	2.52	2.3	2.52	3.07
T1	T	a	38.05	52.11	75.81	27.64	1.86	15.42	68.27	19.95	NA	26.81	50.61	21.15	4.29	59.53	13.08	51.61	59.18	76.99	6.44	27.48	87.69	44.57	2.25	114.6	4.05	11.57	51.47	5.73	14.12	30.61	29.92	36.68	40.85	37.23	45.86	36.66	29.41	20.3	38.07	45.34	69.05	40.88	42.52	3.77	6.38	5.87	6.7	13.24	8.56	10.71	12.2	24.24	18	18.44	20.86	2.72	2.32	1.8	2.49	4.78	3.3	2.83	4.79	1.3	1.55	1.62	2.5
T2	T	a	45.57	NA	96.83	29.44	1.79	12.26	56.71	28.1	29.7	21.25	32.52	18.94	4.07	35.61	11.37	54.27	85.6	56.86	6.03	27.61	62.65	41.71	2.28	107.76	4.08	11.43	104.36	4.84	15.71	50.14	26.38	31.45	34.2	41.02	33.62	27.03	16.95	19.94	18.97	82.97	68.51	86.99	65.39	1.83	2.07	3.44	2.04	11.23	11.11	13.28	8.46	56.01	29.82	46.96	43.26	2.64	3.02	1.95	3.36	3.6	3.8	4	5.66	1.62	1.35	1.54	0.89
T3	T	b	63.41	79.8	117.43	28.87	1.86	16.13	41.25	17.94	25.92	20.97	41.35	21.96	4.36	52.12	12.57	68.44	77.05	77.02	7.3	19.05	63.03	37.4	2.35	123.53	4.23	9.95	89.11	4.85	15.04	48.1	32.32	54.9	46.11	35.84	49.37	32.91	23.35	35.82	21.37	41.43	54.37	60.51	42.33	3.17	2.55	2.98	1.98	13	11	8.62	8.12	45.34	45.93	50.81	43.66	3.42	2.85	2.03	1.96	3.58	4.29	3.34	2.83	1.52	2.08	1.94	1.99
T4	T	b	37.03	49.43	81.3	28.21	1.91	14.14	64.41	23.54	27.35	24.86	55.66	23.83	3.59	46.07	12.35	46.6	108.84	71.17	7.54	20.34	80.02	48.09	2.27	136.33	3.81	10.01	102.77	5.67	18.5	42.95	38.23	37.51	28.46	38.44	44.51	49.96	30.02	46.31	44.29	41.63	35.61	54.3	31.14	2.58	2.81	2.23	3	7.61	12.73	7.1	11.21	31.28	30.14	36.07	33.44	3.03	2.72	1.98	2.41	2.81	1.79	2.13	2.42	3.13	2	3.11	2.14
T5	T	b	43.39	82.45	94.3	32.01	1.88	13.73	50.55	24.22	26.44	18.85	52.32	27.18	3.88	59.39	12.28	56.17	53.14	54.87	6.29	23.21	48.22	30.25	2.35	48.93	4.38	11.65	113.43	5.22	12.76	40.86	27.69	34.19	34.24	34.86	44.59	51.82	44.52	49.68	47.39	25.02	34.11	34.03	34.02	2.26	3.16	2.29	2.99	8.91	13.52	7.81	9.1	53.02	45.66	51.71	47.85	3.49	3.48	2.44	2.88	1.4	1.71	1.33	1.59	4.04	3.45	4.3	4.45
=======
